date,gdpc1,gdppot,nrou
1947-01-01,2182.681,,
1947-04-01,2176.892,,
1947-07-01,2172.432,,
1947-10-01,2206.452,,
1948-01-01,2239.682,,
1948-04-01,2276.69,,
1948-07-01,2289.77,,
1948-10-01,2292.364,,
1949-01-01,2260.807,2244.6967470923687,5.25505256652832
1949-04-01,2253.128,2275.9923955934587,5.2615156173706055
1949-07-01,2276.424,2308.797507930488,5.268013
1949-10-01,2257.352,2340.253351151812,5.274564
1950-01-01,2346.104,2373.175207794116,5.281182
1950-04-01,2417.682,2405.7600930332496,5.287866
1950-07-01,2511.127,2437.7059490821334,5.294604
1950-10-01,2559.214,2470.0043694476535,5.301367
1951-01-01,2593.967,2502.1619101071274,5.308113
1951-04-01,2638.898,2534.281180095102,5.314789
1951-07-01,2693.259,2568.2305469439966,5.321333408355713
1951-10-01,2699.156,2604.063412218286,5.3276824951171875
1952-01-01,2727.954,2640.576257469108,5.333774
1952-04-01,2733.8,2678.7057258043287,5.339555
1952-07-01,2753.517,2714.4074763092335,5.344985485076904
1952-10-01,2843.941,2748.074991644584,5.350040435791016
1953-01-01,2896.811,2778.3820729278627,5.354713
1953-04-01,2919.206,2806.4405365380626,5.359011650085449
1953-07-01,2902.785,2831.6031995510134,5.362958
1953-10-01,2858.845,2854.1516339416175,5.36658239364624
1954-01-01,2845.192,2875.4476831321385,5.369922
1954-04-01,2848.305,2894.694024727424,5.373014450073241
1954-07-01,2880.482,2912.937382855502,5.375902
1954-10-01,2936.852,2931.776023729266,5.378624
1955-01-01,3020.746,2950.192608390797,5.38122
1955-04-01,3069.91,2969.955578594302,5.383725
1955-07-01,3111.379,2989.2571764678064,5.386171
1955-10-01,3130.068,3009.207106913815,5.388586
1956-01-01,3117.922,3029.3418597224227,5.39099645614624
1956-04-01,3143.694,3049.2003653161923,5.39343
1956-07-01,3140.874,3070.0191988467177,5.395917
1956-10-01,3192.57,3091.9755514671347,5.398493
1957-01-01,3213.011,3115.645863044004,5.401198387145996
1957-04-01,3205.97,3141.0025231358914,5.404080390930176
1957-07-01,3237.386,3167.611044609475,5.407184600830078
1957-10-01,3203.894,3195.403674038452,5.410558
1958-01-01,3120.724,3223.285962767317,5.41424036026001
1958-04-01,3141.224,3252.0842371927342,5.418266
1958-07-01,3213.884,3281.3345029196485,5.422658443450928
1958-10-01,3289.032,3312.2337676916545,5.427429
1959-01-01,3352.129,3343.7495355213023,5.432576656341553
1959-04-01,3427.667,3376.581824353419,5.438085556030273
1959-07-01,3430.057,3411.268456920645,5.443927
1959-10-01,3439.832,3446.421530513806,5.450064
1960-01-01,3517.181,3482.533367449192,5.456452369689941
1960-04-01,3498.246,3518.1103071631687,5.463051
1960-07-01,3515.385,3553.620242787998,5.469829559326172
1960-10-01,3470.278,3588.4017983686967,5.47677
1961-01-01,3493.703,3623.226237928527,5.483875
1961-04-01,3553.021,3656.71758635011,5.491165
1961-07-01,3621.252,3691.178554448068,5.498675346374512
1961-10-01,3692.289,3725.696720885487,5.506455421447754
1962-01-01,3758.147,3761.4271931147614,5.514559
1962-04-01,3792.149,3798.7576717348793,5.523042
1962-07-01,3838.776,3837.88919933192,5.5319504737854
1962-10-01,3851.421,3878.403538720957,5.541324
1963-01-01,3893.482,3919.734297545736,5.551188
1963-04-01,3937.183,3961.875661976665,5.561552
1963-07-01,4023.755,4004.6173115885376,5.572411
1963-10-01,4050.147,4048.0588293243577,5.583747386932373
1964-01-01,4135.553,4091.4798025217415,5.595527648925781
1964-04-01,4180.592,4135.8667589502065,5.607706
1964-07-01,4245.918,4180.802022452539,5.620222568511963
1964-10-01,4259.046,4225.922039152623,5.633007
1965-01-01,4362.111,4272.250107271203,5.645977
1965-04-01,4417.225,4317.646712290366,5.659044
1965-07-01,4515.427,4364.56020480614,5.672116
1965-10-01,4619.458,4411.716106638424,5.685105
1966-01-01,4731.888,4459.595106458209,5.69793
1966-04-01,4748.046,4508.122290468056,5.710529
1966-07-01,4788.254,4557.663922700653,5.722861
1966-10-01,4827.537,4607.37472803029,5.734915
1967-01-01,4870.299,4658.411746113664,5.746704
1967-04-01,4873.287,4710.251841362436,5.75827
1967-07-01,4919.392,4762.7520232570605,5.769672
1967-10-01,4956.477,4816.313692140314,5.780984
1968-01-01,5057.553,4870.102307212857,5.792286
1968-04-01,5142.033,4923.72150005846,5.803658485412598
1968-07-01,5181.859,4978.410896415177,5.815175533294678
1968-10-01,5202.212,5033.703280531088,5.826905
1969-01-01,5283.597,5087.76751166427,5.838901
1969-04-01,5299.625,5140.28578422004,5.85120964050293
1969-07-01,5334.6,5190.883400210747,5.863864
1969-10-01,5308.556,5240.14097132856,5.876888
1970-01-01,5300.652,5288.142063746249,5.890298366546631
1970-04-01,5308.164,5334.474066371374,5.9041
1970-07-01,5357.077,5379.486205812729,5.918292
1970-10-01,5299.672,5423.257544275761,5.932861
1971-01-01,5443.619,5466.706098336824,5.947782
1971-04-01,5473.059,5510.42722794308,5.963016
1971-07-01,5518.072,5554.354887602158,5.978505611419678
1971-10-01,5531.032,5598.610008464077,5.994177
1972-01-01,5632.649,5643.401006963654,6.00994
