date,const,ffr_lag1,output_gap,core_inflation,expected_inflation_gap,unemployment_gap,r_squared
2014-04-01,0.6569336769658203,0.801050024038273,0.25039121096824735,-0.09791143694042975,0.27197169199448334,0.11258683086022447,0.9680873630658475
2014-07-01,0.5216893020359511,0.8181376156515471,0.2439889140084869,-0.06311664709166098,0.25870282800431676,0.12622245326581738,0.9680357882609505
2014-10-01,0.39104971127259885,0.836190279562178,0.2257548732423726,-0.03473928818054045,0.2628208463826183,0.13335588072162555,0.9687576381221548
2015-01-01,0.40069068202116886,0.8427646136559437,0.21778495680976453,-0.05085543666522743,0.25517844237134585,0.12861156249311123,0.9693421754669695
2015-04-01,0.27878068703590275,0.8578127814491208,0.19970973273986867,-0.02082916277756841,0.24002241213566256,0.13099522711284864,0.9697400577159945
2015-07-01,0.21185744097741305,0.8673218567334463,0.18231611307452,-0.012539466697981283,0.23384983307767665,0.1292609478539731,0.97054693040416
2015-10-01,0.22179579598437943,0.8713179513697324,0.18363127879611355,-0.028443868396484023,0.1896714631678908,0.12801418383721266,0.9705490182867251
2016-01-01,0.14668326395628428,0.8582773482451271,0.11784457122212472,0.027861807918789616,0.2021829564128825,0.07010402916514824,0.9700279067201348
2016-04-01,0.16200417068929007,0.8547087247822622,0.10452459077199006,0.008138743220486466,0.1869637095335376,0.06040065564652844,0.9697573319086307
2016-07-01,0.32484858863135474,0.8438419554813699,0.1399616658994995,-0.0887921266482761,0.16720117615780528,0.08398074037393832,0.969585260902074
2016-10-01,0.4071314199475412,0.8159257042869652,0.12714423366405947,-0.12139766574947611,0.2295496733962712,0.073070908395128,0.9676819184340324
2017-01-01,0.5117106398882676,0.7818767108998383,0.13210196272082536,-0.15902402990193182,0.24014138496108783,0.06730618146165501,0.9639982305676562
2017-04-01,0.4115668865029302,0.7432144447967068,0.11878727247676979,-0.08661763852153717,0.17757724031913605,0.04868983790957804,0.9563580153217985
2017-07-01,0.30580770415141867,0.676136420891267,0.0846217586267047,-0.004609421385416396,0.166062623378993,0.0175251615672804,0.9490211146199377
2017-10-01,0.2940550955007762,0.5919421247580879,0.03859259205080312,0.019259064537129916,0.1912745173808101,-0.021301091187848543,0.935245501714817
2018-01-01,0.35331007109778395,0.5694739456718999,0.05075881482813068,0.010581969433835207,0.19640373909886813,-0.02219367823746758,0.8792197360212373
2018-04-01,0.3269894711250966,0.6834143164383801,0.09851251898975141,0.024346340856059606,0.16681523082701286,0.01147597588332959,0.8532437701972715
2018-07-01,0.32125786247390126,0.7243184396536428,0.10755859443961859,0.02989621283612797,0.18076485047324106,0.01835044317375903,0.8452287739917363
2018-10-01,-0.03425733463518374,1.0727103623674226,0.01990452081608552,0.07869765260826982,0.03879585053990218,-0.00692763035175813,0.9830841840878087
2019-01-01,-0.1029602828745256,1.1063367040787246,-0.02673647235655385,0.07237706511956864,-0.05240780811448176,-0.035206969673186525,0.9923204969902424
2019-04-01,-0.1185058596586683,1.056158294268644,-0.028089784738550456,0.099370374925147,-0.03917075889598966,-0.03993522672018829,0.9905402484373791
2019-07-01,-0.1829784015479942,1.0010274408261322,-0.042493787398573346,0.1564539524881068,-0.01963667568350788,-0.05552232290030304,0.9864759653001048
2019-10-01,-0.27949305019811627,0.9749601007031284,-0.11238411848685609,0.1974398006347437,-0.002418738933253173,-0.10090141299558307,0.9746120967784595
2020-01-01,-0.2282019787785122,0.9062090776790275,-0.030824093687722348,0.2271031722677015,0.05354846294139856,-0.05224673285341622,0.9662552583466693
2020-04-01,-0.16496586282923442,0.8100822703101751,0.06830134216496761,0.2902500663733405,0.11072303750478873,-0.017072792233999816,0.9629361557174464
2020-07-01,-0.149611588305257,0.8099911725083645,0.0627335135354295,0.2826042562949342,0.1311205514172391,-0.021579718911151378,0.9642137645822153
2020-10-01,-0.2599233352552809,0.8061777891346609,0.03530488315906902,0.34580767535364987,0.12795072041732897,-0.04711240249573677,0.9673821464906118
2021-01-01,-0.3160628939811305,0.8091438753157763,0.017233521211876445,0.3689506403772247,0.10857286823475881,-0.06613605940838949,0.9673766084485397
2021-04-01,0.1641554755176462,0.8327016754955139,-0.006750244042792471,0.06810637315811895,0.211154880538997,-0.07816818460223471,0.9577725490809463
2021-07-01,0.31944475776449305,0.839851550785038,0.006871667618778117,-0.031313197464411635,0.20078045681585763,-0.07087983181827569,0.9543411564386299
2021-10-01,0.39497362769340577,0.8428860106793643,0.010240796937579838,-0.0769684580115284,0.2143143830755027,-0.06845341497766391,0.9535065473690232
2022-01-01,0.4219067354117577,0.8439072889038803,0.01479234254877607,-0.09330065906671042,0.2143706029513726,-0.068171836441881,0.954660351700217
2022-04-01,0.40908801239663495,0.8453960971176311,-0.012270330729999168,-0.08193209072602209,0.2816675113296201,-0.08555239244884277,0.9546611548827265
2022-07-01,0.32841042698135114,0.8712404948277495,-0.06322821654533417,-0.03849921737564911,0.3996234295154796,-0.10913844770673306,0.9296827466119847
2022-10-01,0.11823188855711528,0.952881380840645,-0.09642655505153289,0.03954788165567643,0.3883447271132161,-0.12158126719574706,0.9173769205825628
2023-01-01,0.017874602472066292,0.9996609608777997,-0.10163000481586967,0.06949769681358978,0.3590922084443209,-0.12532497852117727,0.9379164048057251
2023-04-01,0.010416164718886511,1.0034009964203108,-0.10000783410086589,0.0704431667110609,0.35819154830636,-0.12615217871825854,0.9539344213502404
2023-07-01,0.004267635655693686,0.98721459449802,-0.10725359500874651,0.07707967963226904,0.3397002928213739,-0.13736254244677373,0.9631974874410056
2023-10-01,-0.03333568652330238,0.9680650961563568,-0.12132214354979615,0.0970784603699058,0.2934462749393447,-0.1587119150524933,0.9686443482305662
2024-01-01,-0.033256850571312196,0.9612381141913504,-0.12432207459151709,0.09910585154016703,0.291709475134381,-0.16220090920983635,0.9726131604687996
2024-04-01,-0.04803951081521707,0.9546249100806645,-0.12971206172895608,0.1073067225469734,0.27382787029620115,-0.16976414855290792,0.9753380618715131
2024-07-01,-0.04457413766262219,0.9533010317924614,-0.13091965595262897,0.10677311147972043,0.27633925302905604,-0.17038570860483968,0.9774073244965803
